Device_id,Model Name,Model ID,Fusion Op,Original Ops,Memory Input(KB),Memory Output(KB),Memory Weight(KB),Memory Workspace(KB),Memory Total(KB)
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.16/cv2/conv/Conv/model.16/cv2/act/Sigmoid/model.16/cv2/act/Mul,/model.16/cv2/conv/Conv;/model.16/cv2/act/Sigmoid;/model.16/cv2/act/Mul,1212.21875,800.03125,12.1875,0.0,2024.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.17/conv/Conv/model.17/act/Sigmoid/model.17/act/Mul,/model.17/conv/Conv;/model.17/act/Sigmoid;/model.17/act/Mul,872.21875,200.03125,72.1875,0.0,1144.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.19/cv1/conv/Conv/model.19/cv1/act/Sigmoid/model.19/cv1/act/Mul,/model.19/cv1/conv/Conv;/model.19/cv1/act/Sigmoid;/model.19/cv1/act/Mul,648.34375,400.03125,48.3125,0.0,1096.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.19/Split_SplitV_34,/model.19/Split,400.03125,400.0625,0.0,0.0,800.09375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.19/m.0/cv1/conv/Conv/model.19/m.0/cv1/act/Sigmoid/model.19/m.0/cv1/act/Mul,/model.19/m.0/cv1/conv/Conv;/model.19/m.0/cv1/act/Sigmoid;/model.19/m.0/cv1/act/Mul,236.15625,100.03125,36.125,0.0,372.3125
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.19/m.0/cv2/conv/Conv/model.19/m.0/cv2/act/Sigmoid/model.19/m.0/cv2/act/Mul,/model.19/m.0/cv2/conv/Conv;/model.19/m.0/cv2/act/Sigmoid;/model.19/m.0/cv2/act/Mul,136.21875,200.03125,36.1875,0.0,372.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.19/cv2/conv/Conv/model.19/cv2/act/Sigmoid/model.19/cv2/act/Mul,/model.19/cv2/conv/Conv;/model.19/cv2/act/Sigmoid;/model.19/cv2/act/Mul,648.34375,400.03125,48.3125,0.0,1096.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.20/conv/Conv/model.20/act/Sigmoid/model.20/act/Mul,/model.20/conv/Conv;/model.20/act/Sigmoid;/model.20/act/Mul,688.34375,100.03125,288.3125,0.0,1076.6875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/cv1/conv/Conv/model.22/cv1/act/Sigmoid/model.22/cv1/act/Mul,/model.22/cv1/conv/Conv;/model.22/cv1/act/Sigmoid;/model.22/cv1/act/Mul,492.59375,200.03125,192.5625,0.0,885.1875
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,PartitionedCall_/model.22/Split_SplitV_58,/model.22/Split,200.03125,200.0625,0.0,0.0,400.09375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/m.0/cv1/conv/Conv/model.22/m.0/cv1/act/Sigmoid/model.22/m.0/cv1/act/Mul,/model.22/m.0/cv1/conv/Conv;/model.22/m.0/cv1/act/Sigmoid;/model.22/m.0/cv1/act/Mul,116.21875,50.03125,16.1875,0.0,182.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/m.0/m/m.0/cv1/conv/Conv/model.22/m.0/m/m.0/cv1/act/Sigmoid/model.22/m.0/m/m.0/cv1/act/Mul,/model.22/m.0/m/m.0/cv1/conv/Conv;/model.22/m.0/m/m.0/cv1/act/Sigmoid;/model.22/m.0/m/m.0/cv1/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/m.0/m/m.0/cv2/conv/Conv/model.22/m.0/m/m.0/cv2/act/Sigmoid/model.22/m.0/m/m.0/cv2/act/Mul,/model.22/m.0/m/m.0/cv2/conv/Conv;/model.22/m.0/m/m.0/cv2/act/Sigmoid;/model.22/m.0/m/m.0/cv2/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
0,yolo11n_pose_640_aipp_dfl_rewrite_pc,1,/model.22/m.0/m/m.1/cv1/conv/Conv/model.22/m.0/m/m.1/cv1/act/Sigmoid/model.22/m.0/m/m.1/cv1/act/Mul,/model.22/m.0/m/m.1/cv1/conv/Conv;/model.22/m.0/m/m.1/cv1/act/Sigmoid;/model.22/m.0/m/m.1/cv1/act/Mul,122.21875,50.03125,72.1875,0.0,244.4375
